empresa|antiguedad|anio|mes|dia|hora|minuto|volumen|high|low|close|open
PTI|0|2019|06|03|15|30|100|70|4|6|5
PTI|1|2019|06|03|14|30|100|70|4|7|5
PTI|2|2019|06|03|13|30|100|70|4|8|5
PTI|3|2019|06|03|12|30|100|70|4|9|5
PTI|4|2019|06|03|11|30|100|70|4|10|5
PTI|5|2019|06|03|10|30|100|70|4|11|5
PTI|6|2019|06|03|9|30|100|70|4|12|5
PTI|7|2019|06|02|17|30|100|70|4|13|5
PTI|8|2019|06|02|16|30|100|70|4|14|5
PTI|9|2019|06|02|15|30|100|70|4|15|5
PTI|10|2019|06|02|14|30|100|70|4|16|5
PTI|11|2019|06|02|13|30|100|70|4|17|5
PTI|12|2019|06|02|12|30|100|70|4|18|5
PTI|13|2019|06|02|11|30|100|70|4|19|5
PTI|14|2019|06|02|10|30|100|70|4|20|5
PTI|15|2019|06|02|9|30|100|70|4|21|5
PTI|16|2019|06|01|17|30|100|70|4|22|5
PTI|17|2019|06|01|16|30|100|70|4|23|5
PTI|18|2019|06|01|15|30|100|70|4|24|5
PTI|19|2019|06|01|14|30|100|70|4|25|5
