"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"AAPL","Apple Inc.","267.25","$1187.46B","1980","Technology","Computer Manufacturing","https://old.nasdaq.com/symbol/aapl",
"ZNGA","Zynga Inc.","6.23","$5.89B","2011","Technology","EDP Services","https://old.nasdaq.com/symbol/znga",
"ZYXI","Zynex, Inc.","10.5","$343.8M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/zyxi",
"ZYNE","Zynerba Pharmaceuticals, Inc.","6.33","$146.84M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/zyne",
"ZUMZ","Zumiez Inc.","29.54","$761.06M","2005","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/zumz",
"ZS","Zscaler, Inc.","52.13","$6.64B","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/zs",
"ZVO","Zovio Inc.","2.02","$61.14M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/zvo",
"ZSAN","Zosano Pharma Corporation","1.87","$33.14M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/zsan",
"ZM","Zoom Video Communications, Inc.","74.5","$20.38B","2019","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/zm",
"ZGNX","Zogenix, Inc.","47.78","$2.11B","2010","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/zgnx",
"ZKIN","ZK International Group Co., Ltd","1.2784","$21.13M","2017","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/zkin",
"ZIXI","Zix Corporation","7.54","$420.3M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/zixi",
"ZIOP","ZIOPHARM Oncology Inc","5.21","$943.17M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ziop",
"ZIONW","Zions Bancorporation N.A.","17.649","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/zionw",
"ZION","Zions Bancorporation N.A.","49.78","$8.49B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/zion",
"ZNWAA","Zion Oil ","n/a","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/znwaa",
"ZN","Zion Oil ","0.178","$17.38M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/zn",
"ZG","Zillow Group, Inc.","39.06","$8.1B","2011","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/zg",
"Z","Zillow Group, Inc.","39.15","$8.12B","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/z",
"ZBRA","Zebra Technologies Corporation","250.94","$13.53B","1991","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/zbra",
"ZEAL","Zealand Pharma A/S","30.93","$1.11B","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/zeal",
"ZLAB","Zai Lab Limited","39.8","$2.68B","2017","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/zlab",
"ZAGG","ZAGG Inc","7.68","$223.38M","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/zagg",
"ZFGN","Zafgen, Inc.","0.81","$30.27M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/zfgn",
"YY","YY Inc.","63.79","$5.15B","2012","Technology","EDP Services","https://old.nasdaq.com/symbol/yy",
"YJ","Yunji Inc.","3.95","$852.72M","2019","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/yj",
"YRCW","YRC Worldwide, Inc.","3.49","$126.52M","n/a","Transportation","Trucking Freight/Courier Services","https://old.nasdaq.com/symbol/yrcw",
"YGYIP","Youngevity International, Inc.","24.35","n/a","n/a","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/ygyip",
"YGYI","Youngevity International, Inc.","4.41","$132.66M","n/a","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/ygyi",
"YMAB","Y-mAbs Therapeutics, Inc.","33.75","$1.34B","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ymab",
"YIN","Yintech Investment Holdings Limited","4.85","$347.01M","2016","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/yin",
"YTEN","Yield10 Bioscience, Inc.","0.1251","$3.6M","n/a","Basic Industries","Containers/Packaging","https://old.nasdaq.com/symbol/yten",
"YAYO","YayYo, Inc.","2.15","$63M","2019","Technology","EDP Services","https://old.nasdaq.com/symbol/yayo",
"YTRA","Yatra Online, Inc.","3.59","$143.83M","n/a","Consumer Services","Transportation Services","https://old.nasdaq.com/symbol/ytra",
"YNDX","Yandex N.V.","41.97","$13.79B","2011","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/yndx",
"XNET","Xunlei Limited","5.17","$349.65M","2014","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/xnet",
"XTLB","XTL Biopharmaceuticals Ltd.","1.3339","$6.86M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/xtlb",
"XSPA","XpresSpa Group, Inc. ","0.7589","$10.53M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/xspa",
"XPER","Xperi Corporation","19.79","$980.44M","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/xper",
"XPEL","XPEL, Inc.","15.7","$433.65M","n/a","Capital Goods","Industrial Specialties","https://old.nasdaq.com/symbol/xpel",
"XOMA","XOMA Corporation","24.48","$214.26M","1986","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/xoma",
"XLNX","Xilinx, Inc.","92.78","$23.33B","1990","Technology","Semiconductors","https://old.nasdaq.com/symbol/xlnx",
