mercado;ticker;instante;precio;volumen;anio;mes;dia;hora;minuto;num vela ordenada;precio 1dias atras;precio 2dias atras;precio 3dias atras;precio 7dias atras;volumen 1dias atras;volumen 2dias atras;volumen 3dias atras;volumen 7dias atras;preciosubemas20pct que2diasatras;TARGET (preciosubemas20pct que2diasatras y estable3velas)
NASDAQ;PT;20191125090000;0,45;20000;2019;11;25;9;0;1;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191125100000;0,45;20000;2019;11;25;10;0;2;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191125110000;0,45;20000;2019;11;25;11;0;3;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191125120000;0,45;20000;2019;11;25;12;0;4;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191125130000;0,45;20000;2019;11;25;13;0;5;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191125140000;0,45;20000;2019;11;25;14;0;6;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191125150000;0,45;20000;2019;11;25;15;0;7;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191125160000;0,45;20000;2019;11;25;16;0;8;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191125170000;0,45;20000;2019;11;25;17;0;9;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191125180000;0,45;20000;2019;11;25;18;0;10;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191126090000;0,45;20000;2019;11;26;9;0;11;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191126100000;0,45;20000;2019;11;26;10;0;12;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191126110000;0,51;80000;2019;11;26;11;0;13;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191126120000;0,7;90000;2019;11;26;12;0;14;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191126130000;1,2;200000;2019;11;26;13;0;15;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191126140000;1,5;250000;2019;11;26;14;0;16;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191126150000;1,7;350000;2019;11;26;15;0;17;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191126160000;2,1;500000;2019;11;26;16;0;18;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191126170000;2;400000;2019;11;26;17;0;19;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#REF!;FALSE
NASDAQ;PT;20191126180000;1,9;250000;2019;11;26;18;0;20;0,45;0,45;0,45;0,45;20000;20000;20000;20000;#VALUE!;FALSE
NASDAQ;PT;20191126090000;1,9;100000;2019;11;27;9;0;21;0,45;0,45;0,45;0,45;20000;20000;20000;20000;TRUE;FALSE
NASDAQ;PT;20191126100000;1,7;100000;2019;11;27;10;0;22;0,45;0,45;0,45;0,45;20000;20000;20000;20000;TRUE;FALSE
NASDAQ;PT;20191126110000;1,6;20000;2019;11;27;11;0;23;0,51;0,45;0,45;0,45;80000;20000;20000;20000;TRUE;TRUE
NASDAQ;PT;20191126120000;1,2;20000;2019;11;27;12;0;24;0,7;0,45;0,45;0,45;90000;20000;20000;20000;TRUE;TRUE
NASDAQ;PT;20191126130000;0,7;20000;2019;11;27;13;0;25;1,2;0,45;0,45;0,45;200000;20000;20000;20000;TRUE;TRUE
NASDAQ;PT;20191126140000;0,45;20000;2019;11;27;14;0;26;1,5;0,45;0,45;0,45;250000;20000;20000;20000;FALSE;FALSE
NASDAQ;PT;20191126150000;0,2;20000;2019;11;27;15;0;27;1,7;0,45;0,45;0,45;350000;20000;20000;20000;FALSE;FALSE
NASDAQ;PT;20191126160000;0,2;20000;2019;11;27;16;0;28;2,1;0,45;0,45;0,45;500000;20000;20000;20000;FALSE;FALSE
NASDAQ;PT;20191126170000;0,2;20000;2019;11;27;17;0;29;2;0,45;0,45;0,45;400000;20000;20000;20000;FALSE;FALSE
NASDAQ;PT;20191126180000;0,2;20000;2019;11;27;18;0;30;1,9;0,45;0,45;0,45;250000;20000;20000;20000;FALSE;FALSE
